,Date,Hour,Price (Euros),Day,Month,Year,BusinessDay,Season,Night,Trend_abs,Trend
344,2007-01-15,9,39.9,15,1,2007,1,0,0,-4.090000000000003,2
345,2007-01-15,10,44.29,15,1,2007,1,0,0,4.390000000000001,1
346,2007-01-15,11,43.59,15,1,2007,1,0,0,-0.6999999999999957,1
347,2007-01-15,12,44.19,15,1,2007,1,0,0,0.5999999999999943,1
348,2007-01-15,13,39.99,15,1,2007,1,0,0,-4.199999999999996,2
349,2007-01-15,14,39.99,15,1,2007,1,0,0,0.0,1
350,2007-01-15,15,37.0,15,1,2007,1,0,0,-2.990000000000002,1
351,2007-01-15,16,33.57,15,1,2007,1,0,0,-3.4299999999999997,1
352,2007-01-15,17,39.89,15,1,2007,1,0,0,6.32,1
353,2007-01-15,18,49.0,15,1,2007,1,0,0,9.11,1
354,2007-01-15,19,62.46,15,1,2007,1,0,0,13.46,1
355,2007-01-15,20,47.5,15,1,2007,1,0,0,-14.96,2
356,2007-01-15,21,40.6,15,1,2007,1,0,0,-6.899999999999999,2
357,2007-01-15,22,28.0,15,1,2007,1,0,0,-12.600000000000001,2
358,2007-01-15,23,27.01,15,1,2007,1,0,0,-0.9899999999999984,1
359,2007-01-15,24,25.67,15,1,2007,1,0,1,-1.3399999999999999,1
360,2007-01-16,1,26.28,16,1,2007,1,0,1,0.6099999999999994,1
361,2007-01-16,2,22.0,16,1,2007,1,0,1,-4.280000000000001,2
362,2007-01-16,3,20.51,16,1,2007,1,0,1,-1.4899999999999984,1
363,2007-01-16,4,20.0,16,1,2007,1,0,1,-0.5100000000000016,1
364,2007-01-16,5,17.1,16,1,2007,1,0,1,-2.8999999999999986,1
365,2007-01-16,6,24.81,16,1,2007,1,0,1,7.709999999999997,1
